Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.25,0.08,1.67
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,2.72,0.17,3.34
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,3.53,0.31,6.3
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,5.55,0.2,4.04
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,5.71,0.23,4.63
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,11.2,0.1,1.62
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.66,0.33,6.8
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.85,0.34,7.05
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,3.15,0.07,1.34
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,2.37,0.1,1.93
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,2.37,0.1,1.93
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,10.29,-0.01,-0.59
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,6.27,-0.23,-4.57
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,6.2,-0.23,-4.7
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,6.82,-0.25,-5.12
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,4.77,-0.14,-2.78
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,4.77,-0.14,-2.78
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,11.27,-0.07,-1.72
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,2.83,0.0,0.0
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,2.83,0.0,0.0
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,4.91,-0.11,-2.31
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.3,0.13,2.63
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,2.77,0.18,3.5
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,3.53,0.31,6.3
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,6.64,0.17,3.26
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,8.13,0.14,2.74
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,12.09,0.04,0.37
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.92,0.35,7.12
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.92,0.35,7.12
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,3.15,0.07,1.34
SPEA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,1.64,0.09,1.76
SPEA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,2.37,0.1,1.93
