Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,3.79,0.03,0.47
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,5.31,0.13,2.55
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.25,0.45,9.25
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,3.41,0.02,0.25
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,2.0,0.14,2.79
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,9.46,-0.46,-9.01
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,4.81,-0.24,-4.81
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.91,0.18,3.67
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,5.85,-0.06,-1.32
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,1.99,0.09,1.75
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.42,-0.03,-0.72
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,9.83,-0.36,-7.15
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,4.45,-0.03,-0.7
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,4.04,0.01,0.12
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,12.08,-0.27,-5.8
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,3.77,0.16,2.99
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,4.27,0.2,3.79
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,4.41,0.14,2.71
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,3.91,0.0,-0.03
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,3.14,0.38,7.7
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.0,0.55,11.44
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,3.41,0.06,1.13
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,5.27,0.14,2.65
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.25,0.45,9.25
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,4.47,-0.02,-0.48
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,2.0,0.13,2.46
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,9.46,-0.46,-9.01
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,5.11,-0.2,-4.02
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.76,0.18,3.67
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,5.85,-0.06,-1.32
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,2.07,0.09,1.82
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.66,-0.07,-1.53
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,2.8,0.15,2.84
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,3.29,0.16,3.05
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,4.47,0.04,0.69
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,11.99,-0.27,-5.82
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,4.48,0.12,2.16
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,4.48,0.12,2.16
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,4.67,0.2,3.79
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,3.3,0.12,2.42
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,3.27,0.34,6.94
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.0,0.55,11.44
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,2.68,0.02,0.26
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,4.03,0.15,2.92
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.25,0.45,9.25
NPGA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,4.21,-0.04,-0.9
NPGA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,2.07,0.14,2.85
NPGA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,2.59,0.05,0.92
NPGA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,4.65,-0.22,-4.41
NPGA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.1,0.13,2.67
NPGA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,5.71,-0.05,-1.19
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,3.02,0.03,0.57
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.19,0.01,0.02
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,2.15,0.44,9.06
NPGA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,4.16,0.03,0.53
