Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NSGA-II,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Min MDD,0.62,0.32,6.29
NSGA-II,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Best Sortino,6.57,-0.21,-4.09
NSGA-II,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Max Return,6.57,-0.21,-4.09
NSGA-II,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Min MDD,4.33,0.07,1.29
NSGA-II,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Best Sortino,4.33,0.07,1.29
NSGA-II,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Max Return,8.48,-0.02,-0.64
NSGA-II,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Min MDD,2.09,0.05,1.0
NSGA-II,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Best Sortino,1.8,0.09,1.61
NSGA-II,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Max Return,1.89,0.42,8.18
NSGA-II,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Min MDD,1.99,0.15,2.88
NSGA-II,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Best Sortino,2.87,0.35,6.73
NSGA-II,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Max Return,3.64,0.4,7.84
NSGA-II,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Min MDD,0.77,0.42,8.16
NSGA-II,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Best Sortino,8.82,-0.1,-2.25
NSGA-II,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Max Return,13.23,-0.29,-6.02
NSGA-II,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Min MDD,2.67,0.32,6.25
NSGA-II,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Best Sortino,2.67,0.32,6.25
NSGA-II,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Max Return,11.9,-0.64,-11.9
NSGA-II,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Min MDD,6.45,-0.07,-1.4
NSGA-II,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Best Sortino,6.47,-0.07,-1.41
NSGA-II,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Max Return,20.0,-0.91,-16.94
SPEA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Min MDD,0.79,0.33,6.52
SPEA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Best Sortino,5.04,-0.12,-2.43
SPEA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Max Return,5.04,-0.12,-2.43
SPEA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Min MDD,4.95,0.11,2.05
SPEA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Best Sortino,4.95,0.11,2.05
SPEA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Max Return,7.78,0.04,0.6
SPEA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Min MDD,2.18,0.05,0.84
SPEA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Best Sortino,1.54,0.1,1.92
SPEA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Max Return,1.89,0.42,8.16
SPEA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Min MDD,2.22,0.14,2.64
SPEA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Best Sortino,2.69,0.33,6.45
SPEA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Max Return,3.62,0.4,7.8
SPEA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Min MDD,1.68,0.37,7.14
SPEA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Best Sortino,9.33,-0.12,-2.68
SPEA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Max Return,13.02,-0.28,-5.76
SPEA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Min MDD,4.0,0.12,2.14
SPEA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Best Sortino,4.0,0.12,2.14
SPEA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Max Return,10.19,-0.48,-9.1
SPEA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Min MDD,6.31,-0.07,-1.5
SPEA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Best Sortino,6.31,-0.07,-1.5
SPEA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Max Return,19.78,-0.9,-16.71
NPGA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Min MDD,0.78,0.33,6.43
NPGA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Best Sortino,6.57,-0.21,-4.09
NPGA2,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Max Return,6.57,-0.21,-4.09
NPGA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Min MDD,4.13,-0.07,-1.45
NPGA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Best Sortino,4.13,-0.07,-1.45
NPGA2,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Max Return,8.48,-0.02,-0.64
NPGA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Min MDD,1.82,0.08,1.59
NPGA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Best Sortino,1.82,0.08,1.59
NPGA2,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Max Return,1.89,0.42,8.18
NPGA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Min MDD,2.19,0.16,3.07
NPGA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Best Sortino,2.88,0.35,6.73
NPGA2,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Max Return,3.64,0.4,7.84
NPGA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Min MDD,0.98,0.41,7.98
NPGA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Best Sortino,9.88,-0.14,-3.13
NPGA2,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Max Return,13.23,-0.29,-6.02
NPGA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Min MDD,2.69,0.32,6.17
NPGA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Best Sortino,2.69,0.32,6.17
NPGA2,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Max Return,11.9,-0.64,-11.9
NPGA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Min MDD,6.39,-0.07,-1.4
NPGA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Best Sortino,6.39,-0.07,-1.4
NPGA2,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Max Return,20.0,-0.91,-16.94
PESA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Min MDD,0.77,0.33,6.52
PESA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Best Sortino,3.86,0.06,0.92
PESA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Max Return,3.86,0.06,0.92
PESA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Min MDD,3.98,0.07,1.21
PESA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Best Sortino,4.53,0.09,1.57
PESA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Max Return,7.69,0.04,0.62
PESA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Min MDD,1.83,0.05,0.88
PESA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Best Sortino,1.68,0.09,1.77
PESA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Max Return,1.89,0.42,8.18
PESA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Min MDD,2.06,0.15,2.8
PESA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Best Sortino,2.84,0.34,6.65
PESA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Max Return,3.64,0.4,7.84
PESA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Min MDD,0.95,0.41,7.94
PESA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Best Sortino,9.09,-0.11,-2.48
PESA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Max Return,13.23,-0.29,-6.02
PESA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Min MDD,2.86,0.3,5.68
PESA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Best Sortino,2.86,0.3,5.68
PESA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Max Return,11.9,-0.64,-11.9
PESA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Min MDD,5.76,-0.06,-1.28
PESA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Best Sortino,7.76,-0.16,-3.17
PESA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Max Return,20.0,-0.91,-16.94
e-MOEA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Min MDD,0.79,0.33,6.53
e-MOEA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Best Sortino,6.57,-0.21,-4.09
e-MOEA,1,2025-04-02,2025-09-29,2025-09-30,2025-10-27,Max Return,6.57,-0.21,-4.09
e-MOEA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Min MDD,4.32,0.07,1.29
e-MOEA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Best Sortino,4.32,0.07,1.29
e-MOEA,2,2025-05-05,2025-10-27,2025-10-28,2025-11-24,Max Return,8.48,-0.02,-0.64
e-MOEA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Min MDD,2.02,0.06,1.16
e-MOEA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Best Sortino,1.84,0.08,1.53
e-MOEA,3,2025-06-02,2025-11-24,2025-11-25,2025-12-22,Max Return,1.89,0.42,8.18
e-MOEA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Min MDD,2.21,0.16,2.94
e-MOEA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Best Sortino,2.87,0.35,6.7
e-MOEA,4,2025-06-30,2025-12-22,2025-12-23,2026-01-22,Max Return,3.64,0.4,7.84
e-MOEA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Min MDD,0.98,0.43,8.49
e-MOEA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Best Sortino,9.54,-0.13,-2.87
e-MOEA,5,2025-07-28,2026-01-22,2026-01-23,2026-02-19,Max Return,13.23,-0.29,-6.02
e-MOEA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Min MDD,3.82,0.22,4.22
e-MOEA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Best Sortino,2.75,0.31,6.02
e-MOEA,6,2025-08-25,2026-02-19,2026-02-20,2026-03-19,Max Return,11.9,-0.64,-11.9
e-MOEA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Min MDD,6.43,-0.07,-1.4
e-MOEA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Best Sortino,6.43,-0.07,-1.4
e-MOEA,7,2025-09-22,2026-03-19,2026-03-20,2026-04-20,Max Return,20.0,-0.91,-16.94
